company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
SellerX,sellerx.com,Berlin,,Germany,458,http://www.linkedin.com/company/seller-x,2020,eCommerce,1,417360000,1,,"Cherry Ventures, Felix Capital, 83North",,,1000000000,$766M,https://www.growjo.com/company/SellerX,https://www.indeed.com/jobs?q=company%3A(SellerX),92%,For Contact Direct Phone Numbers and Emails see Lead411
Razor Group,razor-group.com,Berlin,,Germany,479,http://www.linkedin.com/company/razor-brands,2020,eCommerce,2,400000000,1,,"Global Founders Capital, 468 Capital, Redalpine Venture Partners",,,1000000000,$14.5M,https://www.growjo.com/company/Razor_Group,https://www.indeed.com/jobs?q=company%3A(Razor Group),240%,For Contact Direct Phone Numbers and Emails see Lead411
Moss,getmoss.com,Berlin,,Germany,491,http://www.linkedin.com/company/mosscredit,2019,Fintech,3,21190000,1,,Tiger Global,,,566317500,$150.2M,https://www.growjo.com/company/Moss,https://www.indeed.com/jobs?q=company%3A(Moss),422%,For Contact Direct Phone Numbers and Emails see Lead411
ATAI Life Sciences AG,atai.life,Berlin,,Germany,135,http://www.linkedin.com/company/atai-life-sciences,2018,Biotech,4,20770000,18,,"Apeiron Investment Group, Subversive Capital, Thiel Capital",,,2000000000,$347.1M,https://www.growjo.com/company/ATAI_Life_Sciences_AG,https://www.indeed.com/jobs?q=company%3A(ATAI Life Sciences AG),63%,For Contact Direct Phone Numbers and Emails see Lead411
T-knife,t-knife.com,Berlin,,Germany,81,http://www.linkedin.com/company/t-knife,,Biotech,5,12710000,1,,,,,,$197.4M,https://www.growjo.com/company/T-knife,https://www.indeed.com/jobs?q=company%3A(T-knife),113%,For Contact Direct Phone Numbers and Emails see Lead411
INFARM,infarm.com,Berlin,,Germany,689,http://www.linkedin.com/company/infarm---indoor-urban-farming-gmbh,2012,Farming,6,122642000,104,"Agriculture, Vertical Farming, Food Tech","Atomico, Hanaco Venture Capital, TriplePoint Capital",,,1000000000,$604.5M,https://www.growjo.com/company/INFARM,https://www.indeed.com/jobs?q=company%3A(INFARM),22%,For Contact Direct Phone Numbers and Emails see Lead411
Cosuno,cosuno.de,Berlin,,Germany,192,http://www.linkedin.com/company/cosuno,2018,Construction,7,57739000,1,,,,,,$45.2M,https://www.growjo.com/company/Cosuno,https://www.indeed.com/jobs?q=company%3A(Cosuno),300%,For Contact Direct Phone Numbers and Emails see Lead411
Moss Firmenkreditkarte,getvanta.com,Berlin,,Germany,491,http://www.linkedin.com/company/mosscredit,2019,Fintech,8,54275000,1,,,,,,,https://www.growjo.com/company/Moss_Firmenkreditkarte,https://www.indeed.com/jobs?q=company%3A(Moss Firmenkreditkarte),422%,For Contact Direct Phone Numbers and Emails see Lead411
Vivid Money,vivid.money,Berlin,,Germany,284,http://www.linkedin.com/company/vividmoney,2020,Fintech,9,51620000,8,,"Greenoaks Capital, Ribbit Capital",,,886000000,€175M,https://www.growjo.com/company/Vivid_Money,https://www.indeed.com/jobs?q=company%3A(Vivid Money),54%,For Contact Direct Phone Numbers and Emails see Lead411
Forto,forto.com,Berlin,,Germany,685,http://www.linkedin.com/company/fortocompany,2016,Logistics,10,105554000,1,,"Disruptive, SoftBank's Vision Fund 2",,,2100000000,$343.4M,https://www.growjo.com/company/Forto,https://www.indeed.com/jobs?q=company%3A(Forto),64%,For Contact Direct Phone Numbers and Emails see Lead411
SimplyDelivery,simplydelivery.de,Berlin,,Germany,82,http://www.linkedin.com/company/simplydelivery,2014,Tech Services,11,11890000,1,,,,,,$10M,https://www.growjo.com/company/SimplyDelivery,https://www.indeed.com/jobs?q=company%3A(SimplyDelivery),290%,For Contact Direct Phone Numbers and Emails see Lead411
Dance,dance.co,Berlin,,Germany,167,http://www.linkedin.com/company/dance,,Consumer,12,29869000,1,,,,,,$41.6M,https://www.growjo.com/company/Dance,https://www.indeed.com/jobs?q=company%3A(Dance),183%,For Contact Direct Phone Numbers and Emails see Lead411
Trade Republic,traderepublic.com,Berlin,,Germany,769,http://www.linkedin.com/company/trade-republic,,Fintech,13,160803500,101,,,,,5300000000,$995.5M,https://www.growjo.com/company/Trade_Republic,https://www.indeed.com/jobs?q=company%3A(Trade Republic),72%,For Contact Direct Phone Numbers and Emails see Lead411
solarisBank,solarisbank.com,Berlin,,Germany,630,http://www.linkedin.com/company/solarisbank,2016,Fintech,14,95923100,24,,,,,1650000000,€345.1M,https://www.growjo.com/company/solarisBank,https://www.indeed.com/jobs?q=company%3A(solarisBank),33%,For Contact Direct Phone Numbers and Emails see Lead411
wefox,wefox.com,Berlin,,Germany,712,http://www.linkedin.com/company/wefox,2015,Insurance,15,142400000,30,,"Mubadala Investment Company, LGT, Horizons Ventures",,,4500000000,$918.5M,https://www.growjo.com/company/wefox,https://www.indeed.com/jobs?q=company%3A(wefox),49%,For Contact Direct Phone Numbers and Emails see Lead411
Connected Retail by Zalando,en.connectedretail.de,Berlin,,Germany,212,http://www.linkedin.com/company/zalando-connected-retail,,Retail,16,52936400,1,,,,,,,https://www.growjo.com/company/Connected_Retail_by_Zalando,https://www.indeed.com/jobs?q=company%3A(Connected Retail by Zalando),237%,For Contact Direct Phone Numbers and Emails see Lead411
Y42,y42.com,Berlin,,Germany,105,http://www.linkedin.com/company/y42-business-intelligence,,Tech Services,17,11165000,1,,,,,,,https://www.growjo.com/company/Y42,https://www.indeed.com/jobs?q=company%3A(Y42),228%,For Contact Direct Phone Numbers and Emails see Lead411
Planetly,planetly.com,Berlin,,Germany,247,http://www.linkedin.com/company/planetly,2019,Tech Services,18,26158000,1,,,,,,,https://www.growjo.com/company/Planetly,https://www.indeed.com/jobs?q=company%3A(Planetly),263%,For Contact Direct Phone Numbers and Emails see Lead411
Berlin Brands Group,berlin-brands-group.com,Berlin,,Germany,643,http://www.linkedin.com/company/berlin-brands-group,2005,eCommerce,19,49445000,1,,,,,1000000000,$1B,https://www.growjo.com/company/Berlin_Brands_Group,https://www.indeed.com/jobs?q=company%3A(Berlin Brands Group),25%,For Contact Direct Phone Numbers and Emails see Lead411
Contentful,contentful.com,Berlin,,Germany,794,http://www.linkedin.com/company/contentful,2013,DevOps,20,166566400,1,saas,,,,3000000000,$349.6M,https://www.growjo.com/company/Contentful,https://www.indeed.com/jobs?q=company%3A(Contentful),22%,For Contact Direct Phone Numbers and Emails see Lead411
GetYourGuide,getyourguide.com,Berlin,,Germany,841,http://www.linkedin.com/company/getyourguide-ag,2009,Travel,21,95990000,5,"Internet, Online Travel, Marketplaces, Tourism",Spark Capital,,,1100000000,$886.2M,https://www.growjo.com/company/GetYourGuide,https://www.indeed.com/jobs?q=company%3A(GetYourGuide),25%,For Contact Direct Phone Numbers and Emails see Lead411
vene.io,vene.io,Berlin,,Germany,61,http://www.linkedin.com/company/veneio,2016,Adtech,22,8784000,1,,,,,,,https://www.growjo.com/company/vene.io,https://www.indeed.com/jobs?q=company%3A(vene.io),221%,For Contact Direct Phone Numbers and Emails see Lead411
Formel Skin,formelskin.de,Berlin,,Germany,114,http://www.linkedin.com/company/formelskin,2019,Digital Health,23,11620000,1,,,,,,,https://www.growjo.com/company/Formel_Skin,https://www.indeed.com/jobs?q=company%3A(Formel Skin),128%,For Contact Direct Phone Numbers and Emails see Lead411
sennder GmbH,sennder.com,Berlin,,Germany,894,http://www.linkedin.com/company/sennder-gmbh,2015,Transportation,24,419321760,102,,"Accelm Scania Growth Capital, Lakestar",,,1000000000,$340M,https://www.growjo.com/company/sennder_GmbH,https://www.indeed.com/jobs?q=company%3A(sennder GmbH),34%,For Contact Direct Phone Numbers and Emails see Lead411
Hive Technologies,hive.app,Berlin,,Germany,213,http://www.linkedin.com/company/hive-logistics,,Logistics,25,35075000,1,,,,,,,https://www.growjo.com/company/Hive_Technologies,https://www.indeed.com/jobs?q=company%3A(Hive Technologies),213%,For Contact Direct Phone Numbers and Emails see Lead411
Finoa,finoa.io,Berlin,,Germany,120,http://www.linkedin.com/company/finoabanking,2018,Fintech,26,68900000,1,,,,,,,https://www.growjo.com/company/Finoa,https://www.indeed.com/jobs?q=company%3A(Finoa),167%,For Contact Direct Phone Numbers and Emails see Lead411
